date, pm25, pm10, o3, no2, so2, co, aqi
2025/2/14, , , , , , , 100
2025/2/15, , , , , , , 82
2025/2/16, , , , , , , 66
2025/2/17, , , , , , , 78
2025/2/18, , , , , , , 72
2025/2/19, , , , , , , 58
2025/2/20, , , , , , , 57
2025/2/21, , , , , , , 57
2025/2/22, , , , , , , 60
2025/2/23, , , , , , , 58
2025/2/24, , , , , , , 53
2025/2/25, , , , , , , 54
2025/2/26, , , , , , , 48
2025/2/27, , , , , , , 48
2025/2/28, , , , , , , 52
2025/3/1, , , , , , , 52
2025/3/2, , , , , , , 54
2025/3/3, , , , , , , 58
2025/3/4, , , , , , , 64
2025/3/5, , , , , , , 65
2025/3/6, , , , , , , 64
2025/3/7, , , , , , , 60
2025/3/8, , , , , , , 61
2025/3/9, , , , , , , 56
2025/3/10, , , , , , , 55
2025/3/11, , , , , , , 56
2025/3/12, , , , , , , 57
2025/3/13, , , , , , , 53
2025/3/14, , , , , , , 55
2025/3/15, , , , , , , 58
2025/3/16, , , , , , , 60
2025/3/17, , , , , , , 62
2025/3/18, , , , , , , 62
2025/3/19, , , , , , , 64
2025/3/20, , , , , , , 68
2025/3/21, , , , , , , 74
2025/3/22, , , , , , , 72
2025/3/23, , , , , , , 69
2025/3/24, , , , , , , 61
2025/3/25, , , , , , , 64
2025/3/26, , , , , , , 69
2025/3/27, , , , , , , 79
2025/3/28, , , , , , , 78
2025/3/29, , , , , , , 81
2025/3/30, , , , , , , 82
2025/3/31, , , , , , , 69
2024/10/1, , , , , , , 46
2024/10/2, , , , , , , 38
2024/10/3, , , , , , , 56
2024/10/4, , , , , , , 46
2024/10/5, , , , , , , 46
2024/10/6, , , , , , , 45
2024/10/7, , , , , , , 55
2024/10/8, , , , , , , 56
2024/10/9, , , , , , , 63
2024/10/10, , , , , , , 59
2024/10/11, , , , , , , 54
2024/10/12, , , , , , , 51
2024/10/13, , , , , , , 47
2024/10/14, , , , , , , 40
2024/10/15, , , , , , , 39
2024/10/16, , , , , , , 30
2024/10/17, , , , , , , 50
2024/10/18, , , , , , , 51
2024/10/19, , , , , , , 43
2024/10/20, , , , , , , 35
2024/10/21, , , , , , , 48
2024/10/22, , , , , , , 56
2024/10/23, , , , , , , 53
2024/10/24, , , , , , , 51
2024/10/25, , , , , , , 52
2024/10/26, , , , , , , 50
2024/10/27, , , , , , , 39
2024/10/28, , , , , , , 45
2024/10/29, , , , , , , 46
2024/10/30, , , , , , , 57
2024/10/31, , , , , , , 58
2024/11/1, , , , , , , 53
2024/11/2, , , , , , , 61
2024/11/3, , , , , , , 50
2024/11/4, , , , , , , 48
2024/11/5, , , , , , , 54
2024/11/6, , , , , , , 49
2024/11/7, , , , , , , 49
2024/11/8, , , , , , , 54
2024/11/9, , , , , , , 53
2024/11/10, , , , , , , 56
2024/11/11, , , , , , , 55
2024/11/12, , , , , , , 47
2024/11/13, , , , , , , 51
2024/11/14, , , , , , , 51
2024/11/15, , , , , , , 49
2024/11/16, , , , , , , 46
2024/11/17, , , , , , , 49
2024/11/18, , , , , , , 50
2024/11/19, , , , , , , 55
2024/11/20, , , , , , , 54
2024/11/21, , , , , , , 52
2024/11/22, , , , , , , 52
2024/11/23, , , , , , , 49
2024/11/24, , , , , , , 49
2024/11/25, , , , , , , 50
2024/11/26, , , , , , , 49
2024/11/27, , , , , , , 37
2024/11/28, , , , , , , 33
2024/11/29, , , , , , , 40
2024/11/30, , , , , , , 51
2024/12/1, , , , , , , 55
2024/12/2, , , , , , , 59
2024/12/3, , , , , , , 60
2024/12/4, , , , , , , 53
2024/12/5, , , , , , , 50
2024/12/6, , , , , , , 45
2024/12/7, , , , , , , 54
2024/12/8, , , , , , , 54
2024/12/9, , , , , , , 50
2024/12/10, , , , , , , 42
2024/12/11, , , , , , , 50
2024/12/12, , , , , , , 57
2024/12/13, , , , , , , 60
2024/12/14, , , , , , , 43
2024/12/15, , , , , , , 43
2024/12/16, , , , , , , 55
2024/12/17, , , , , , , 45
2024/12/18, , , , , , , 55
2024/12/19, , , , , , , 54
2024/12/20, , , , , , , 55
2024/12/21, , , , , , , 55
2024/12/22, , , , , , , 57
2024/12/23, , , , , , , 56
2024/12/24, , , , , , , 59
2024/12/25, , , , , , , 58
2024/12/26, , , , , , , 62
2024/12/27, , , , , , , 68
2024/12/28, , , , , , , 84
2024/12/29, , , , , , , 68
2024/7/1, , , , , , , 63
2024/7/2, , , , , , , 60
2024/7/3, , , , , , , 59
2024/7/4, , , , , , , 63
2024/7/6, , , , , , , 54
2024/7/7, , , , , , , 47
2024/7/8, , , , , , , 32
2024/7/9, , , , , , , 51
2024/7/10, , , , , , , 48
2024/7/11, , , , , , , 51
2024/7/12, , , , , , , 61
2024/7/13, , , , , , , 65
2024/7/14, , , , , , , 67
2024/7/15, , , , , , , 58
2024/7/16, , , , , , , 75
2024/7/17, , , , , , , 76
